,Top 10 Topics,Time
0,"['Presentations', 'Collaboration', 'Emerging Markets', 'Globalization', 'Giving Feedback', 'Social Platforms', 'Competition', 'Meetings', 'Negotiations', 'Coaching']",0 days 00:00:00.190001
1,"['Intellectual Property', 'Customer Service', 'Managing Yourself', 'Conflict', 'Behavioral Economics', 'Economics & Society', 'Psychology', 'Race', 'Public Relations', 'Competition']",0 days 00:00:00.183000
2,"['Emotional Intelligence', 'Receiving Feedback', 'Ethics', 'Giving Feedback', 'Coaching', 'Crisis Communication', 'Stress', 'Education', 'Managing Yourself', 'Customer Service']",0 days 00:00:00.186997
3,"['Competition', 'Informal Leadership', 'Intellectual Property', 'Collaboration', 'Job Search', 'Public Relations', 'Managing Yourself', 'Operations', 'Labor', 'Customers']",0 days 00:00:00.190002
4,"['Creativity', 'Informal Leadership', 'Race', 'Intellectual Property', 'Hiring', 'Coaching', 'Conflict', 'Business Education', 'Public Relations', 'Human Resource Management']",0 days 00:00:00.185998
5,"['Competition', 'Decision Making', 'Job Search', 'Intellectual Property', 'Behavioral Economics', 'Disruptive Innovation', 'Regulation', 'Creativity', 'Competitive Strategy', 'Health']",0 days 00:00:00.527455
6,"['Sexual Orientation', 'Gender', 'Creativity', 'Customer Service', 'Intellectual Property', 'Currency', 'Behavioral Economics', 'Conflict', 'Competition', 'Difficult Conversations']",0 days 00:00:00.304001
7,"['Creativity', 'Stress', 'Manufacturing', 'Managing Yourself', 'Competition', 'Social Enterprise', 'Behavioral Economics', 'Downsizing', 'Job Search', 'Personnel Policies']",0 days 00:00:00.396002
8,"['Entrepreneurship', 'Change Management', 'Competition', 'Market Research', 'Disruptive Innovation', 'Collaboration', 'Marketing', 'Entrepreneurial Finance', 'Venture Capital', 'Auditing']",0 days 00:00:00.403998
9,"['Firing', 'Business Law', 'Retirement', 'Operations', 'Entrepreneurship', 'Product Development', 'Budgeting', 'Delegation', 'Personnel Policies', 'Downsizing']",0 days 00:00:00.272999
10,"['Creativity', 'Economics & Society', 'Intellectual Property', 'Informal Leadership', 'Difficult Conversations', 'Psychology', 'Race', 'Coaching', 'Conflict', 'Customer Service']",0 days 00:00:00.265001
