,Human Labels,,,,,,,Topics from different Embeddings,,,,
Extracts,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Spacy (Keyword) [Word2Vec],Spacy (Semantic) [Word2Vec],SBert,Fast Text,Universal Sentence Encoder
You can make more friends in two months by becoming interested in other people than you can in two years by trying to get other people interested in you.,networking,communication,management,,,,,,,,,
"When dealing with people, remember you are not dealing with creatures of logic, but with creatures bristling with prejudice and motivated by pride and vanity.",diversity,communication,economy,psychology,,,,,,,Investigate Latter,
"Any fool can criticize, complain, and condemn—and most fools do. But it takes character and self-control to be understanding and forgiving.",ethics,behavioural science,psychology,personnel policies,,,,,,,,
"The only reason, for example, that you are not a rattlesnake is that your mother and father weren't rattlesnakes. You deserve very little credit for being what you are",ethics,behavioral science,personnel policies,generational issues,,,,,,,,
"So figure it out for yourself. Which would you rather have, an academic, theatrical victory or a person’s good will? You can seldom have both.”",ethics,psychology,managing yourself,leadership,decision making,,,,,,,
Lack of concentration of effort. The “jack-of-all-trades” seldom is good at any. Concentrate all of your efforts on one definite chief aim.,management,education,startegic planing,startegic thinking,managing yourself,,,,,,,
"Money is shy and elusive. It must be wooed and won by methods not unlike those used by a determined lover, in pursuit of the girl of his choice.",behavioural science,ethics,psychology,,,,,,,,,
"The average lawn is an interesting beast: people plant it, then douse it with artificial fertilizers and dangerous pesticides to make it grow and to keep it uniform-all so that they can hack and mow what they encouraged to grow. And woe to the small yellow flower that rears its head!",sustainability,risk management,globalisation,diversity,leadership,,,,,,,
"Schumacher posited that people must make a serious shift in what they consider to be wealth and progress: ""Ever-bigger machines, entailing ever-bigger concentrations of economic power and exerting ever-greater violence against the environment, do not represent progress: they are a denial of wisdom.",technology,economy,wisdom,technology,,,,,,,,
"But ultimately a regulation is a signal of design failure. In fact, it is what we call a license to harm: a permit issued by a government to an industry so that it may dispense sickness, destruction, and death at an “acceptable” rate.",ethics,government,stress,conflict,government,,,,,,,
"Why talk about what we want? That is childish. Absurd. Of course, you are interested in what you want. You are eternally interested in it. But no one else is. The rest of us are just like you: we are interested in what we want.",communication,ethics,psychology,behavioural science,generational issues,,,,,,,
"Instead of condemning people, let’s try to understand them. Let’s try to figure out why they do what they do. That’s a lot more profitable and intriguing than criticism; and it breeds sympathy, tolerance and kindness. “To know all is to forgive all.”",behavioural science,psychology,ethics,leadership,,,,,,,,
"The chronic kicker, even the most violent critic, will frequently soften and be subdued in the presence of a patient, sympathetic listener— a listener who will be silent while the irate fault-finder dilates like a king cobra and spews the poison out of his system.",communication,risk management,conflict,psychology,ethics,,,,,,,
"John Wanamaker, founder of the stores that bear his name, once confessed: ""I learned thirty years ago that it is foolish to scold. I have enough trouble overcoming my own limitations without fretting over the fact that God has not seen fit to distribute evenly the gift of intelligence.",education,behavioural science,psychology,communication,,,,,,,,
"Buddha said: ‘Hatred is never ended by hatred but by love,’ and a misunderstanding is never ended by an argument but by tact, diplomacy, conciliation and a sympathetic desire to see the other person’s viewpoint.",psychology,policy,behavioral science,psychology,generational issues,,,,,,,
"I had listened intently. I had listened because I was genuinely interested. And he felt it. Naturally that pleased him. That kind of listening is one of the highest compliments we can pay anyone. “Few human beings,” wrote Jack Woodford in Strangers in Love, “few human beings are proof against the implied flattery of rapt attention.”",philosophy,psychology,leadership,leading teams,behavioral science,motivating people,,,,,,
"I asked him why he had chosen us over the others. He paused for a moment and then he said: ‘I think it was because managers in the other companies spoke on the phone in a cold, business-like manner, which made me feel like just another business transaction. Your voice sounded as if you were glad to hear from me … that you really wanted me to be part of your organization.",business,organizational culture,psychology,behavioural science,Corporate Communications,communication,,,,,,
"People who can put themselves in the place of other people, who can understand the workings of their minds, need never worry about what the future has in store for them.” If out of reading this book you get just one thing – an increased tendency to think always in terms of other people’s point of view, and see things from their angle – if you get that one thing out of this book, it may easily prove to be one of the building blocks of your career.",career planning,psychology,decision making,behavioural science,,,,,,,,
"Instead of condemning people, let’s try to understand them. Let’s try to figure out why they do what they do. That’s a lot more profitable and intriguing than criticism; and it breeds sympathy, tolerance and kindness. “To know all is to forgive all.” As Dr. Johnson said: “God himself, sir, does not propose to judge man until the end of his days.” Why should you and I?",communication,crisis communication,behavioural science,conflict,,,,,,,,
"The reason why rivers and seas receive the homage of a hundred mountain streams is that they keep below them. Thus they are able to reign over all the mountain streams. So the sage, wishing to be above men, putteth himself below them; wishing to be before them, he putteth himself behind them. Thus, though his place be above men, they do not feel his weight; though his place be before them, they do not count it an injury.",diversity,economy,ethics,behavioural science,psychology,,,,,,,
