Topics,Definition
Accounting,"Accounting or accountancy is the measurement, processing, and communication of financial and non financial information about economic entities such as businesses and corporations. Accounting, which has been called the ""language of business"", measures the results of an organization's economic activities and conveys this information to a variety of users, including investors, creditors, management, and regulators."
Analytics,"Analytics is the systematic computational analysis of data or statistics. It is used for the discovery, interpretation, and communication of meaningful patterns in data. It also entails applying data patterns towards effective decision making. It can be valuable in areas rich with recorded information; analytics relies on the simultaneous application of statistics, computer programming and operations research to quantify performance."
Assessing Performance,Assessing Performance is defined as a formal and productive procedure to measure an employee’s work and results based on their job responsibilities.
Auditing,"An audit is an ""independent examination of financial information of any entity, whether profit oriented or not, irrespective of its size or legal form when such an examination is conducted with a view to express an opinion thereon.” Auditing also attempts to ensure that the books of accounts are properly maintained by the concern as required by law. "
Balanced Scorecard,Balanced scorecard refers to a strategic management performance metric used to identify and improve various internal business functions and their resulting external outcomes.
Behavioral Economics,"Behavioral Economics is a method of economic analysis that applies psychological insights into human behaviour to explain economic decision-making. Behavioral models typically integrate insights from psychology, neuroscience and microeconomic theory. The study of behavioral economics includes how market decisions are made and the mechanisms that drive public choice."
Boards,The board is a governing body that typically meets at regular intervals to set policies for corporate management and oversight. Every public company must have a board of directors. Some private and nonprofit organizations also have a board of directors.
Branding,"The promotion of a particular product or company by means of advertising and distinctive design. Brand, a name, logo, slogan, and/or design scheme associated with a product or service
Branding (promotional), the distribution of merchandise with a brand name or symbol imprinted"
Budgeting,"Financial plan for a defined period, often one year. It may also include planned sales volumes and revenues, resource quantities, costs and expenses, assets, liabilities and cash flows. Companies, governments, families, and other organizations use it to express strategic plans of activities or events in measurable terms. A budget is the sum of finances allocated for a particular purpose and the summary of intended expenditures along with proposals for how to meet them. It may include a budget surplus, providing money for use at a future time, or a deficit in which expenses exceed income."
Business Education,"Business education is a branch of education that involves teaching the skills and operations of the business industry. A business education has many components, as there are many different areas of the business industry as a whole. An education in business varies greatly in its curriculum and popularity around the world. Career development is often an integral part of an education in business."
Business History,"Business history is a historiographical field which examines the history of firms, business methods, government regulation and the effects of business on society. It also includes biographies of individual firms, executives, and entrepreneurs. It is related to economic history. It is distinct from ""company history"" which refers to official histories, usually funded by the company itself."
Business Law,"Commercial law or business law is the body of law which governs business and commerce and is often considered to be a branch of civil law and deals both with issues of private law and public law. Commercial law regulates corporate contracts, hiring practices, and the manufacture and sales of consumer goods."
Business Models,"Business Model is a plan for the successful operation of a business, identifying sources of revenue, the intended customer base, products, and details of financing. It describes the rationale of how an organization creates, delivers, and captures value in economic, social, cultural or other contexts."
Business Processes,"A business process, business method or business function is a collection of related, structured activities or tasks by people or equipment in which a specific sequence produces a service or product (serves a particular business goal) for a particular customer or customers. A business process may often be visualized (modeled) as a flowchart of a sequence of activities with interleaving decision points or as a process matrix of a sequence of activities with relevance rules based on data in the process. The benefits of using business processes include improved customer satisfaction and improved agility for reacting to rapid market change. "
Business Writing,"Business writing is a professional communication tool (also known as business communication or professional writing) corporations and other professional entities use to communicate with either an internal or external audience.. It must be substantive, clear, correct, and easy to scan. Memorandums, reports, proposals, emails, and a variety of other business-related written materials are all forms of business writing."
Career Planning,"Career planning refers to the strategy a person uses to determine career goals and the path to achieve those goals. The process integrates various activities, including steps for self-improvement and the process of meeting these goals."
Change Management,"Change management is a collective term for all approaches to prepare, support, and help individuals, teams, and organizations in making organizational change. Drivers of change may include the ongoing evolution of technology, internal reviews of processes, crisis response, customer demand changes, competitive pressure, acquisitions and mergers, and organizational restructuring. It includes methods that redirect or redefine the use of resources, business process, budget allocations, or other modes of operation that significantly change a company or organization. "
Coaching,"Coaching is a form of development in which an experienced person, called a coach, supports a learner or client in achieving a specific personal or professional goal by providing training and guidance. The learner is sometimes called a coachee. Occasionally, coaching may mean an informal relationship between two people, of whom one has more experience and expertise than the other and offers advice and guidance as the latter learns; but coaching differs from mentoring by focusing on specific tasks or objectives, as opposed to more general goals or overall development."
Collaboration,"Collaboration is the process of two or more people, entities or organizations working together to complete a task or achieve a goal. Collaboration is similar to cooperation. Most collaboration requires leadership, although the form of leadership can be social within a decentralized and egalitarian group. Teams that work collaboratively often access greater resources, recognition and rewards when facing competition for finite resources.Structured methods of collaboration encourage introspection of behavior and communication. Such methods aim to increase the success of teams as they engage in collaborative problem-solving."
Communication,"Communication is defined as the process of understanding and sharing meaning.It is an act of developing meaning among entities or groups through the use of sufficiently mutually understood signs, symbols, and semiotic conventions."
Compensation,"Compensation is a tool used by management for a variety of purposes to further the existance of the company. Compensation is the total cash and non-cash payments that you give to an employee in exchange for the work they do for your business.Compensation may be used to recruit and retain qualified employees, increase or maintain morale/satisfaction, reward and encourage peak performance,achieve internal and external equity,reduce turnover and encourage company loyalty and modify (through negotiations) practices of unions."
Competition,"Competition arises whenever two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition includes rivalry between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
Competitive Strategy,A competitive strategy may be defined as a long-term plan of action that a company devises towards achieving a competitive advantage over its competitors after examining the strengths and weaknesses of the latter and comparing them to its own.
Conflict,"A conflict is a clash of interest. The basis of conflict may vary but it is always a part of society. Basis of conflict may be personal, racial, class, caste, political and international. Conflict in groups often follows a specific course."
Corporate Communications,Corporate Communications is the way in which businesses and organizations communicate with internal and external various audiences. These audiences commonly include: Customers and potential customers. Employees. Key stakeholders
Corporate Governance,"Corporate Governance is the structure of rules, practices, and processes used to direct and manage a company. A company's board of directors is the primary force influencing corporate governance."
Costs,"A cost is the value of money that has been used up to produce something or deliver a service, and hence is not available for use anymore. In business, the cost may be one of acquisition, in which case the amount of money expended to acquire it is counted as cost. In the field of economics, cost is a metric that is totaling up as a result of a process or as a differential for the result of a decision."
Creativity,"The use of imagination or original ideas to create something; inventiveness. Creativity is a phenomenon whereby something somehow new and somehow valuable is formed. The created item may be intangible (such as an idea, a scientific theory, a musical composition, or a joke) or a physical object (such as an invention, a printed literary work, or a painting)."
Crisis Communication,The effort taken by an organization to communicate with the public and stakeholders when an unexpected event occurs that could have a negative impact on the organization's reputation. This can also refer to the efforts to inform employees or the public of a potential hazard which could have a catastrophic impact. 
Crisis Management,Crisis management is the process by which an organization deals with a disruptive and unexpected event that threatens to harm the organization or its stakeholders.  It is considered to be the most important process in public relations.
Cross-Cultural Management,Cross-Cultural Management is the study of management in a cross-cultural context. It includes the study of the influence of societal culture on managers and management practice as well as the study of the cultural orientations of individual managers and organization members.
